event,Annelida_Annelida_Annelida,Arthropoda_Arachnida_Acari,Arthropoda_Arachnida_Araneae,Arthropoda_Arachnida_Opilioacarida,Arthropoda_Arachnida_Opiliones,Arthropoda_Collembola_Collembola,Arthropoda_Insecta_Blattodea,Arthropoda_Insecta_Coleoptera,Arthropoda_Insecta_Diptera,Arthropoda_Insecta_Hemiptera,Arthropoda_Insecta_Hymenoptera,Arthropoda_Insecta_Lepidoptera,Arthropoda_Insecta_Orthoptera,Arthropoda_Insecta_Zygentoma,Arthropoda_Malacostraca_Isopoda,Arthropoda_Myriapoda_Myriapoda,Mollusca_Gastropoda_Gastropoda
ONAQ02320160913,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0
ORNL00120160329,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1
ORNL00120160705,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
ORNL00120160927,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ORNL02120160329,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1
ORNL02120160705,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
ORNL02120161011,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0
ORNL02920160329,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
ORNL02920160705,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0
ORNL02920161011,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0
OSBS00120160407,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0
OSBS00120160630,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0
OSBS00120160908,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0
OSBS00420160407,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0
OSBS00420160630,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0
OSBS00420160908,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0
OSBS02220160407,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
OSBS02220160630,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
OSBS02220160908,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0
SCBI00420160719,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0
SCBI00420160927,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0
SCBI00620160426,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1
SCBI00620160719,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
SCBI00620160927,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
SERC00320160519,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1
SRER00120160412,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0
SRER00120160719,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0
SRER00120161011,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0
SRER00620160426,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0
SRER00620160719,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0
SRER00620161011,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0
STEI00220160720,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1
STEI00220160914,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1
STEI00820160511,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1
STEI00820160720,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1
STEI00820160914,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1
TALL00120160413,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0
TALL00120160706,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1
TALL00120160914,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
TALL00220160413,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
TALL00220160706,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1
TALL00220160914,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0
TREE00120160517,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1
TREE00120160712,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1
TREE00120160908,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1
TREE00220160517,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1
TREE00220160712,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
TREE00220160908,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
TREE00320160517,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1
TREE00320160712,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1
TREE00320160908,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1
UKFS00620160329,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1
UKFS00620160705,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1
UKFS00920160329,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0
UKFS00920160705,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0
UKFS00920161011,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0
UNDE00320160524,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1
UNDE00320160719,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1
UNDE00320160913,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1
UNDE01720160524,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
UNDE01720160719,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1
UNDE01720160913,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1
WOOD00220160419,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0
WOOD00220160628,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0
WOOD00220160906,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0
WOOD02320160419,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0
WOOD02320160628,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1
WOOD02320160906,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0
